[I 2021-06-13 02:24:31,140] Trial 19 finished with value: 1.749941669144947 and parameters: {'n_estimators': 814, 'max_depth': 5, 'reg_alpha': 5, 'reg_lambda': 5, 'min_child_weight': 0, 'gamma': 3, 'learning_rate': 0.0881515114110574, 'colsample_bytree': 0.65}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 02:38:08,639] Trial 20 finished with value: 1.7499448941021227 and parameters: {'n_estimators': 743, 'max_depth': 6, 'reg_alpha': 4, 'reg_lambda': 2, 'min_child_weight': 3, 'gamma': 4, 'learning_rate': 0.019477605140824212, 'colsample_bytree': 0.86}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 02:46:04,035] Trial 21 finished with value: 1.7499670491216703 and parameters: {'n_estimators': 897, 'max_depth': 5, 'reg_alpha': 1, 'reg_lambda': 4, 'min_child_weight': 2, 'gamma': 5, 'learning_rate': 0.03982024578202998, 'colsample_bytree': 0.58}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 02:53:32,547] Trial 22 finished with value: 1.7499405000797472 and parameters: {'n_estimators': 860, 'max_depth': 5, 'reg_alpha': 1, 'reg_lambda': 4, 'min_child_weight': 2, 'gamma': 5, 'learning_rate': 0.05122557060793158, 'colsample_bytree': 0.61}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 03:00:07,342] Trial 23 finished with value: 1.7498613410810009 and parameters: {'n_estimators': 944, 'max_depth': 6, 'reg_alpha': 2, 'reg_lambda': 4, 'min_child_weight': 4, 'gamma': 5, 'learning_rate': 0.08037357825697997, 'colsample_bytree': 0.73}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 03:08:48,690] Trial 24 finished with value: 1.7494200688623822 and parameters: {'n_estimators': 910, 'max_depth': 5, 'reg_alpha': 1, 'reg_lambda': 5, 'min_child_weight': 3, 'gamma': 4, 'learning_rate': 0.0235433604187248, 'colsample_bytree': 0.45999999999999996}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 03:20:20,066] Trial 25 finished with value: 1.7496191199057736 and parameters: {'n_estimators': 939, 'max_depth': 6, 'reg_alpha': 0, 'reg_lambda': 5, 'min_child_weight': 3, 'gamma': 4, 'learning_rate': 0.011011319675731835, 'colsample_bytree': 0.44000000000000006}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 03:27:49,018] Trial 26 finished with value: 1.7493566737004556 and parameters: {'n_estimators': 778, 'max_depth': 5, 'reg_alpha': 1, 'reg_lambda': 5, 'min_child_weight': 4, 'gamma': 4, 'learning_rate': 0.02103006725659698, 'colsample_bytree': 0.44000000000000006}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 03:31:22,636] Trial 27 finished with value: 1.7524479663873092 and parameters: {'n_estimators': 649, 'max_depth': 4, 'reg_alpha': 2, 'reg_lambda': 0, 'min_child_weight': 5, 'gamma': 3, 'learning_rate': 0.013388309884020691, 'colsample_bytree': 0.26}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 03:39:00,160] Trial 28 finished with value: 1.7497517440150492 and parameters: {'n_estimators': 790, 'max_depth': 5, 'reg_alpha': 3, 'reg_lambda': 5, 'min_child_weight': 4, 'gamma': 4, 'learning_rate': 0.015322506408029861, 'colsample_bytree': 0.44000000000000006}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 03:42:26,010] Trial 29 finished with value: 1.757254807092622 and parameters: {'n_estimators': 821, 'max_depth': 5, 'reg_alpha': 3, 'reg_lambda': 4, 'min_child_weight': 4, 'gamma': 3, 'learning_rate': 0.00814837819713406, 'colsample_bytree': 0.1}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 03:45:46,541] Trial 30 finished with value: 1.7499066386728548 and parameters: {'n_estimators': 606, 'max_depth': 4, 'reg_alpha': 0, 'reg_lambda': 3, 'min_child_weight': 4, 'gamma': 4, 'learning_rate': 0.027174056102112314, 'colsample_bytree': 0.29000000000000004}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 03:56:34,800] Trial 31 finished with value: 1.7490115149491468 and parameters: {'n_estimators': 866, 'max_depth': 6, 'reg_alpha': 1, 'reg_lambda': 5, 'min_child_weight': 3, 'gamma': 5, 'learning_rate': 0.025215828539218107, 'colsample_bytree': 0.51}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 04:04:12,344] Trial 32 finished with value: 1.7498786644972861 and parameters: {'n_estimators': 769, 'max_depth': 5, 'reg_alpha': 1, 'reg_lambda': 5, 'min_child_weight': 3, 'gamma': 4, 'learning_rate': 0.018353153349740595, 'colsample_bytree': 0.49}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 04:14:22,329] Trial 33 finished with value: 1.7486121919567696 and parameters: {'n_estimators': 915, 'max_depth': 6, 'reg_alpha': 2, 'reg_lambda': 5, 'min_child_weight': 4, 'gamma': 5, 'learning_rate': 0.03934741660764429, 'colsample_bytree': 0.39}. Best is trial 33 with value: 1.7486121919567696.
